source,slug,status,severity,score,summary,issues
static,kimbap-ingredient,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,kpop-idol,,P2,70,cards=5; paragraphs=27; faq=true,P2 English section title remains | P2 console logging in result page
static,laundry-habit,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,leftover-handling,,P2,70,cards=11; paragraphs=10; faq=true,P2 static metadata missing | P2 console logging in result page
static,love-reaction,,P2,70,cards=11; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,love-texting-style,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,lunch-decider,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,lunch-preference,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,lunchbox-style,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,market-choice,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,meal-balance,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,meal-cleanup,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,meal-duration,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,meal-etiquette,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,meal-frequency,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,meal-group,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,meal-leftover,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,meal-order,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,meal-pacing,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,meal-planning,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,meal-prep,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,meal-preparation,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,meal-serving,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,meal-sharing,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,meal-social,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,meal-solo,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,meat-grilling,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,meeting-villain,,Pass,90,cards=8; paragraphs=8; faq=true,
static,midnight-snack,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,mirror-habit,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,morning-alarm,,P2,70,cards=13; paragraphs=19; faq=true,P2 static metadata missing | P2 English section title remains | P2 console logging in result page
