slug,source,severity,score,recommendedFix,issues
phone-payment,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
phone-photo,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
phone-search,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
phone-social-media,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
phone-storage,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
phone-style,static,P2,70,SEO/목차/관련 링크/문구 품질 보강,P2 test description too short or missing in registry | P2 result table of contents missing | P2 related tests missing
phone-usage,static,P2,70,SEO/목차/관련 링크/문구 품질 보강,P2 test description too short or missing in registry | P2 result table of contents missing | P2 English section title remains
pizza-topping,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
ramen-mbti,static,P2,70,SEO/목차/관련 링크/문구 품질 보강,P2 test description too short or missing in registry | P2 result table of contents missing | P2 English section title remains
restaurant-ambiance,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
restaurant-choice,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
restaurant-menu,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
restaurant-price,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing | P2 result mojibake suspected: 174
restaurant-reservation,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
restaurant-service,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
rice-eating,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
salad-dressing,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
shopping-style,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
shower-habit,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
skin-routine,static,P2,70,SEO/목차/관련 링크/문구 품질 보강,P2 test description too short or missing in registry | P2 result table of contents missing | P2 related tests missing
sleep-chronotype,static,P2,70,SEO/목차/관련 링크/문구 품질 보강,P2 test description too short or missing in registry | P2 result table of contents missing | P2 English section title remains
snack-preference,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P1 result visible sections low: 4 | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
